X a:y(Car body) - Acceleration of point (-6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (-6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
0,0,21.992018
0.0053750002,0,-0.19779409
0.010375,0,-0.50001448
0.015375,0,0.21037786
0.020375,0,-0.37594903
0.025125001,0,10.282825
0.030375,0,0.17647602
0.035374999,0,-3.6342623
0.040125001,0,0.18628769
0.045375001,0,-0.27636656
0.050875001,0,0.498633
0.055125002,0,13.476342
0.060375001,0,0.18481737
0.065875001,0,-0.16924828
0.070124999,0,-0.74154764
0.075125001,0,-0.50972414
0.080124997,0,3.5328276
0.085124999,0,0.15968424
0.090625003,0,0.035983432
0.095624998,0,-0.84505242
0.100625,0,-0.14030138
0.105625,0,-0.9007057
0.110125,0,-3.0251222
0.115125,0,-0.10601689
0.120125,0,-0.094501421
0.12512501,0,-0.38398027
0.130125,0,-0.13716827
0.135125,0,-4.1810112
0.14012501,0,0.071956873
0.145125,0,-0.29257932
0.15062501,0,-0.058328915
0.155625,0,0.32966959
0.160625,0,-0.018138999
0.16562501,0,0.26173925
0.17012499,0,5.8750496
0.175375,0,0.31912941
0.180875,0,-0.12855707
0.185875,0,0.067612141
0.190125,0,-2.345207
0.195375,0,0.0014243909
0.20037501,0,0.64426911
0.205375,0,2.5130134
0.210125,0,0.46128315
0.21512499,0,-0.24264698
0.220125,0,0.071811453
0.225125,0,-0.20714502
0.230125,0,-0.47546276
0.23612501,0,-0.31367761
0.240125,0,-0.72860581
0.245625,0,-0.18528767
0.25062501,0,-0.34752506
0.25562501,0,-0.46169063
0.260625,0,-0.18873651
0.265625,0,-0.44048113
0.270625,0,-0.40435469
0.27662501,0,-0.36304525
0.28062499,0,-0.38072762
0.28512499,0,1.6303726
0.29037499,0,-0.28048643
0.29537499,0,-0.17674877
0.30037501,0,-0.16812168
0.30537501,0,0.089568466
0.31137499,0,0.11572468
0.315375,0,0.29983133
